"sample_list","sig_list","expected_list","fitsig_list","actual_list","diff"
"TCGA-AD-A5EJ-01A-11D-A28G-10","SBS5",0.271449287591226,0.271449287591229,0.242081447963801,0.029367839627425
"TCGA-EI-7002-01A-11D-1924-10","SBS15",0.0688522287194353,0.0688522287194353,0.0982142857142857,0.0293620569948504
"T3033","SBS1",0.461344071400398,0.461344071400398,0.432,0.029344071400398
"TCGA-AZ-6599-01A-11D-1771-10","SBS2",0.144572044130497,0.144572044130498,0.173913043478261,0.029340999347764
"TCGA-AF-2687-01A-02D-1733-10","SBS5",0.657903395744934,0.657903395744934,0.628571428571429,0.0293319671735049
"TCGA-F5-6861-01A-11D-1924-10","SBS1",0.398178290040283,0.398178290040283,0.427480916030534,0.029302625990251
"T3236","SBS1",0.482914425555659,0.482914425555659,0.51219512195122,0.029280696395561
"sysucc-936T","SBS5",0.880223548180246,0.880223548180246,0.909495548961424,0.0292720007811781
"HDC90","SBS5",0.673573740945818,0.673573740945818,0.644351464435146,0.029222276510672
"TCGA-AA-3496-01A-21D-1835-10","SBS40",0.189552120154682,0.189552120154682,0.21875,0.029197879845318
"HDC101","SBS1",0.257497924167224,0.257497924167224,0.228373702422145,0.029124221745079
"TCGA-CM-6171-01A-11D-1650-10","SBS44",0.314515454445674,0.314515454445674,0.285524568393094,0.02899088605258
"LIM1899","SBS1",0.144101017587018,0.144101017587018,0.115267947421638,0.02883307016538
"TCGA-CK-6747-01A-11D-1835-10","SBS1",0.618362519456757,0.618362519456757,0.589595375722543,0.0287671437342141
"T1844","SBS5",0.38115966587116,0.38115966587116,0.40990990990991,0.02875024403875
"T3309","SBS5",0.512941864411989,0.512941864411989,0.541666666666667,0.028724802254678
"T3203","SBS1",0.524636153949422,0.524636153949422,0.495934959349593,0.028701194599829
"HRA19","SBS5",0.874245203962286,0.874245203962286,0.845569620253165,0.028675583709121
"T2932","SBS44",0.408183256134097,0.408183256134107,0.379527559055118,0.028655697078979
"T3059","SBS1",0.432670797195272,0.432670797195297,0.404040404040404,0.028630393154868
"C31","SBS1",0.494369399011821,0.494369399011821,0.465753424657534,0.028615974354287
"T3204","SBS1",0.428580393277169,0.428580393303501,0.4,0.028580393277169
"TCGA-AA-3950-01A-02W-0995-10","SBS5",0.304760953857559,0.304760953857559,0.333333333333333,0.028572379475774
"TCGA-D5-6931-01A-11D-1924-10","SBS17b",0.214719544866213,0.214719544866213,0.186157517899761,0.028562026966452
"T636","SBS1",0.505282088129389,0.505282088129389,0.476744186046512,0.028537902082877
"T388","SBS1",0.426021709504015,0.426021709504015,0.454545454545455,0.02852374504144
"sysucc-810T","SBS5",0.816352635059563,0.816352635059571,0.844875346260388,0.0285227112008249
"sysucc-1030T","SBS1",0.103367054115115,0.103367054121441,0.131826741996234,0.028459687881119
"TCGA-A6-4105-01A-02D-1771-10","SBS40",0.578918069831986,0.578918069831986,0.55045871559633,0.028459354235656
"TCGA-AA-3655-01A-02D-1719-10","SBS5",0.574692840117428,0.574692840120072,0.546296296296296,0.0283965438211321
"TCGA-NH-A6GA-01A-11D-A36X-10","SBS1",0.443200999217231,0.443200999257777,0.414814814814815,0.028386184402416
"TCGA-A6-2671-01A-01D-1408-10","SBS40",0.465919642371011,0.465919642371011,0.494252873563218,0.028333231192207
"T3670","SBS5",0.529983464005748,0.529983464005748,0.558282208588957,0.028298744583209
"587228","SBS44",0.226957307237494,0.226957307237494,0.255178127589064,0.02822082035157
"T70","SBS1",0.498068945719315,0.498068945719315,0.469879518072289,0.028189427647026
"TCGA-G5-6641-01A-11D-1826-10","SBS1",0.34691472212316,0.34691472212316,0.375,0.02808527787684
"TCGA-AA-3667-01A-01W-0900-09","SBS5",0.64571096861248,0.64571096861248,0.617647058823529,0.028063909788951
"TCGA-CM-6674-01A-11D-1835-10","SBS1",0.504052430159807,0.504052430160761,0.476014760147601,0.028037670012206
"TCGA-AA-3858-01A-01W-0900-09","SBS1",0.455836182776733,0.455836182776733,0.483870967741935,0.028034784965202
"T186","SBS1",0.447764859908968,0.447764859908968,0.475728155339806,0.027963295430838
"TCGA-AF-2690-01A-02D-1733-10","SBS1",0.562575123328868,0.562575123328868,0.534653465346535,0.027921657982333
"TCGA-AA-3845-01A-01W-0995-10","SBS44",0.294594319032797,0.294594319032797,0.322497861420017,0.02790354238722
"TCGA-CM-6172-01A-11D-1650-10","SBS5",0.569341472168879,0.569341472168937,0.597222222222222,0.027880750053343
"TCGA-DC-6154-01A-31D-1924-10","SBS1",0.327712342500743,0.327712342500743,0.355555555555556,0.027843213054813
"TCGA-A6-6782-01A-11D-1835-10","SBS1",0.289942822110393,0.289942822110393,0.317708333333333,0.02776551122294
"TCGA-DC-6682-01A-11D-1826-10","SBS1",0.430608084565121,0.430608084571641,0.458333333333333,0.027725248768212
"TCGA-D5-6535-01A-11D-1719-10","SBS2",0.0715696916837344,0.0715696916837344,0.043859649122807,0.0277100425609274
"TCGA-F5-6702-01A-11D-1826-10","SBS5",0.514065712374997,0.514065712374997,0.541666666666667,0.02760095429167
"TCGA-CI-6622-01A-11D-1826-10","SBS40",0.369848767094894,0.369848767094894,0.397435897435897,0.027587130341003
"TCGA-AD-6901-01A-11D-1924-10","SBS1",0.37955684116053,0.37955684116053,0.35207100591716,0.02748583524337
"T1204","SBS1",0.285022200060094,0.285022200085853,0.3125,0.027477799939906
"587220","SBS44",0.411829879775117,0.411829879775445,0.384370015948963,0.027459863826154
"TCGA-AA-3864-01A-01D-1981-10","SBS44",0.400964602810063,0.400964602810063,0.428416191252377,0.027451588442314
"TCGA-G4-6320-01A-11D-1719-10","SBS5",0.374175371026031,0.374175371026031,0.346740638002774,0.027434733023257
"TCGA-A6-6782-01A-11D-1835-10","SBS5",0.0845989801070958,0.0845989801070958,0.0572916666666667,0.0273073134404291
"TCGA-AA-3695-01A-01W-0900-09","SBS1",0.465698166677142,0.465698166677142,0.492957746478873,0.027259579801731
"C547","SBS15",0.274180932546535,0.274180932546535,0.247104247104247,0.027076685442288
"T3505","SBS5",0.425539959609446,0.425539959609446,0.398496240601504,0.027043719007942
"TCGA-AG-3732-01A-11D-1657-10","SBS1",0.592695958904992,0.592695958940775,0.565656565656566,0.0270393932484261
"TCGA-D5-6541-01A-11D-1719-10","SBS1",0.55415843510159,0.55415843510159,0.581196581196581,0.027038146094991
"T1760","SBS1",0.379070932357782,0.379070932357782,0.406060606060606,0.026989673702824
"TCGA-D5-6927-01A-21D-1924-10","SBS44",0.430668097858478,0.430668097858478,0.403680981595092,0.026987116263386
"TCGA-F4-6459-01A-11D-1771-10","SBS13",0.10528872699655,0.10528872699655,0.0783132530120482,0.0269754739845018
"TCGA-CA-5796-01A-01D-1650-10","SBS1",0.395725650050981,0.395725650050981,0.422680412371134,0.026954762320153
"TCGA-AF-A56N-01A-12D-A38X-10","SBS1",0.258798981501451,0.258798981501451,0.285714285714286,0.026915304212835
"TCGA-AD-6890-01A-11D-1924-10","SBS40",0.441876008452152,0.441876008452153,0.414965986394558,0.026910022057594
"TCGA-D5-6532-01A-11D-1719-10","SBS5",0.446146788873223,0.446146788873778,0.473053892215569,0.026907103342346
"T3021","SBS44",0.29170158806485,0.29170158806485,0.31856446610545,0.0268628780405999
